URL,Size,OutLinks,ContentType
https://www.wsj.com/,5068961,447,text/html
https://www.wsj.com/news/author/christopher-mims?mod=nav_top_subsection,853022,326,text/html
https://www.wsj.com/news/types/commentary-u-s?mod=nav_top_subsection,1347840,355,text/html
https://www.wsj.com/news/types/mlb?mod=nav_top_subsection,1244884,355,text/html
https://www.wsj.com/news/us?mod=lead_feature_below_a_strap,1629452,344,text/html
https://www.wsj.com/podcasts?mod=wsjfooter,259792,141,text/html
https://www.wsj.com/news/style-entertainment/fashion?mod=nav_top_subsection,1282602,355,text/html
https://www.wsj.com/news/business/transportation?mod=nav_top_subsection,1048435,314,text/html
https://www.wsj.com/articles/u-k-to-bar-all-asylum-seekers-who-cross-channel-on-boats-290c3ae2?mod=hp_listb_pos2,559076,353,text/html
https://www.wsj.com/news/author/jason-zweig?mod=nav_top_subsection,718837,304,text/html
https://www.wsj.com/articles/wall-street-concedes-there-is-finally-an-alternative-to-stocks-d19aebe6?mod=hp_trending_now_article_pos1,586449,342,text/html
https://www.wsj.com/video/browse/opinion?mod=nav_top_subsection,124059,105,text/html
https://www.wsj.com/news/science?mod=nav_top_subsection,2015225,351,text/html
https://www.wsj.com/news/business/hotels-casinos?mod=nav_top_subsection,1348397,355,text/html
https://www.wsj.com/articles/college-should-be-more-like-prison-attention-spans-liberal-education-great-books-philosophy-diversity-statements-administration-60881077?mod=hp_opin_pos_1,544307,346,text/html
https://www.wsj.com/news/types/cross-country?mod=nav_top_subsection,970996,314,text/html
https://www.wsj.com/news/types/the-saturday-interview?mod=nav_top_subsection,1237728,355,text/html
https://www.wsj.com/video/browse/news/world-news?mod=nav_top_subsection,126989,105,text/html
https://www.wsj.com/market-data/quotes/futures/GC00?mod=hp_mds,481144,308,text/html
https://www.wsj.com/news/author/daniel-henninger?mod=nav_top_subsection,719879,305,text/html
https://www.wsj.com/news/realestate?mod=nav_top_section,1413325,356,text/html
https://www.wsj.com/articles/capital-gains-dividend-tax-rates-2022-2023-da562ba6?mod=hp_theme_tax-ribbon,555215,343,text/html
https://www.wsj.com/coupons,318825,170,text/html
https://www.wsj.com/buyside,684875,98,text/html
https://www.wsj.com/market-data/quotes/index/US/DJIA?mod=hp_mds,515464,395,text/html
https://www.wsj.com/video/browse/business?mod=nav_top_subsection,127289,105,text/html
https://www.wsj.com/questions/money?mod=nav_top_subsection,83187,181,text/html
https://www.wsj.com/market-data/mutualfunds-etfs?mod=nav_top_subsection,892241,311,text/html
https://www.wsj.com/articles/business-hotels-face-increased-default-risk-in-uneven-travel-recovery-2b1aa822?mod=hp_lista_pos1,256412,66,text/html
https://www.wsj.com/news/markets/stocks?mod=nav_top_subsection,1406783,355,text/html
https://www.wsj.com/news/types/china-news?mod=nav_top_subsection,1244112,355,text/html
https://www.wsj.com/market-data/quotes/company-list/?mod=nav_top_subsection,450330,419,text/html
https://www.wsj.com/articles/college-should-be-more-like-prison-attention-spans-liberal-education-great-books-philosophy-diversity-statements-administration-60881077?mod=hp_trending_now_opn_pos1,544307,346,text/html
https://www.wsj.com/news/opinion?mod=nav_top_section,1793058,382,text/html
https://www.wsj.com/news/types/cultural-commentary?mod=nav_top_subsection,972626,314,text/html
https://www.wsj.com/articles/tesla-cuts-prices-of-model-x-and-model-s-1898bc5d?mod=hp_lead_pos3,543398,343,text/html
